energy,A,error,n,variable
17.95,0.40799534297331486,0.015303372404225165,1263,sd_nEM_MC
17.95,-0.033745154750842284,0.021387690824425272,1263,sdSignal_REC
17.96,0.04246838231448812,0.06906357848788935,1308,nMuones_MC
17.96,-0.07334817364046921,0.029146843915797964,1308,sd_nMuons_MC
17.96,0.4314920712448034,0.012947045470654036,1308,sd_nEM_MC
17.96,-0.0031059890846883743,0.02167892499761289,1308,sdSignal_REC
17.97,0.11510686022609841,0.057707765287088625,1575,nMuones_MC
17.97,-0.017216750765922235,0.025973357184040775,1575,sd_nMuons_MC
17.97,0.4709329115287278,0.01298882371210322,1575,sd_nEM_MC
17.97,0.01646928377961413,0.020510906164999867,1575,sdSignal_REC
17.98,0.16351506795034149,0.06260247337672456,1551,nMuones_MC
17.98,0.0016979703114295447,0.02774054753447359,1551,sd_nMuons_MC
17.98,0.4162000131678027,0.014157043407735704,1551,sd_nEM_MC
17.98,0.014043290281995692,0.020952848805967633,1551,sdSignal_REC
17.99,0.16684294442047856,0.05865577913087883,1491,nMuones_MC
17.99,0.015002187347013845,0.026598199349365952,1491,sd_nMuons_MC
17.99,0.4184942557415948,0.013916695653115376,1491,sd_nEM_MC
17.99,0.0947126958626291,0.02138999172814276,1491,sdSignal_REC
18.0,0.08970418617825389,0.08869181785812155,549,nMuones_MC
18.0,-0.11547327634083865,0.04578821687098388,549,sd_nMuons_MC
18.0,0.4467680693193516,0.021508386658967902,549,sd_nEM_MC
18.0,0.01085462994963978,0.03363070007162817,549,sdSignal_REC
