lo,hi,sample,variable,weighted,A,error,n
1050,1200,SDsignal_positive,sdSignal_REC,True,-0.01653849121448541,0.005949888919751957,19929
1050,1200,SDsignal_positive,sdSignal_REC,False,-0.022828587777147125,0.0136742227744264,19929
1200,1350,modules,nMuones_MC,True,0.08159722767774781,0.029126122888913676,11082
1200,1350,modules,nMuones_MC,False,0.0799666424812696,0.023123286978513194,11082
1200,1350,modules,sd_nMuons_MC,True,-0.12397227128574753,0.009884529033066023,11082
1200,1350,modules,sd_nMuons_MC,False,-0.11392427070643545,0.015154974004983359,11082
1200,1350,modules,sd_nEM_MC,True,0.4478515027822721,0.0049270267386161545,11082
1200,1350,modules,sd_nEM_MC,False,0.44911908412039725,0.010855059349852392,11082
1200,1350,modules,sdSignal_REC,True,-0.09785997436543886,0.00737280100964323,11082
1200,1350,modules,sdSignal_REC,False,-0.09250746741795962,0.012627812025591075,11082
1200,1350,station_once,nMuones_MC,True,0.13345510759081197,0.050493792587436116,3694
1200,1350,station_once,nMuones_MC,False,0.12543048977548865,0.041964991716156655,3694
1200,1350,station_once,sd_nMuons_MC,True,-0.12399013026146193,0.017138783767032047,3694
1200,1350,station_once,sd_nMuons_MC,False,-0.11392427070643545,0.015154974004983359,3694
1200,1350,station_once,sd_nEM_MC,True,0.4478642664031818,0.00854585561693457,3694
1200,1350,station_once,sd_nEM_MC,False,0.44911908412039725,0.010855059349852392,3694
1200,1350,station_once,sdSignal_REC,True,-0.09786356471535358,0.012783203065061421,3694
1200,1350,station_once,sdSignal_REC,False,-0.09250746741795958,0.012627812624892345,3694
1200,1350,silent,nMuones_MC,True,,,0
1200,1350,silent,nMuones_MC,False,,,0
1200,1350,silent,sd_nMuons_MC,True,,,0
1200,1350,silent,sd_nMuons_MC,False,,,0
1200,1350,silent,sd_nEM_MC,True,,,0
1200,1350,silent,sd_nEM_MC,False,,,0
1200,1350,silent,sdSignal_REC,True,,,0
1200,1350,silent,sdSignal_REC,False,,,0
1200,1350,candidate,nMuones_MC,True,0.0802477995641512,0.029155889383349502,11067
1200,1350,candidate,nMuones_MC,False,0.07826992451952017,0.022939132308042422,11067
1200,1350,candidate,sd_nMuons_MC,True,-0.12194356330071376,0.009893073526800692,11067
1200,1350,candidate,sd_nMuons_MC,False,-0.11176183364164906,0.015795991535293444,11067
1200,1350,candidate,sd_nEM_MC,True,0.4474833868557376,0.004933477421844213,11067
1200,1350,candidate,sd_nEM_MC,False,0.4487841487244764,0.010962212815344867,11067
